"data","precipitacao","pressao","pressaoMaxAnt","pressaoMinAnt","radiacaoGlobal","temperatura","temperaturaMaxAnt","temperaturaMinAnt","temperaturaOrvalho","temperaturaOrvalhoMaxAnt","temperaturaOrvalhoMinAnt","umidade","umidadeMaxAnt","umidadeMinAnt","ventoDir","ventoMax","ventoVel","energiaGerada"
"2020-10-02 09:00",0.4,997.1,997.3,996.5,118.8,19.6,19.9,19.6,18.5,18.7,18.4,93.0,93.0,92.0,144.0,6.1,2.2,167.32,
"2020-10-02 08:00",0.4,996.5,996.5,994.8,69.8,19.8,20.9,19.8,18.5,19.8,18.5,92.0,93.0,91.0,98.0,6.2,3.2,70.75,
"2020-10-14 18:00",0.0,1003.0,1003.0,1002.4,209.3,21.3,22.7,20.9,14.1,15.2,14.1,64.0,66.0,60.0,220.0,1.6,1.0,35.95,
"2020-10-02 07:00",0.6,995.3,995.4,993.7,6.9,20.8,21.1,20.7,19.7,19.7,19.3,93.0,93.0,91.0,105.0,3.8,1.4,50.52,
"2020-10-14 17:00",0.0,1002.5,1002.6,1002.3,604.0,22.8,23.0,22.4,14.8,14.8,13.4,61.0,62.0,55.0,287.0,1.9,0.4,244.31,
"2020-10-02 13:00",0.0,999.1,999.1,998.3,1004.6,20.3,21.3,20.3,17.1,18.0,16.9,82.0,83.0,79.0,169.0,8.3,4.2,246.48,
"2020-10-02 12:00",0.2,998.3,999.0,997.8,1157.3,21.1,21.1,18.9,18.1,18.1,16.8,83.0,89.0,81.0,177.0,9.3,4.3,1070.01,
"2020-10-02 11:00",0.0,998.7,999.2,997.6,290.5,19.4,20.5,19.4,17.1,18.6,17.1,87.0,90.0,86.0,216.0,6.8,3.2,291.58,
"2020-10-02 10:00",0.0,998.2,998.2,997.1,376.1,20.5,20.6,19.6,18.8,19.0,18.4,90.0,94.0,89.0,190.0,4.3,1.2,227.64,
"2020-10-03 16:00",0.2,1008.7,1011.9,1008.6,266.4,12.3,12.8,12.2,11.2,11.6,11.1,93.0,93.0,91.0,119.0,12.3,5.8,49.78,
"2020-10-26 16:00",0.0,991.2,992.0,991.0,800.6,23.0,24.4,23.0,19.5,20.9,19.4,81.0,83.0,77.0,70.0,6.2,3.0,91.35,
"2020-10-03 15:00",1.8,1010.6,1011.3,1008.9,391.3,12.6,12.6,11.9,11.4,11.5,11.1,92.0,95.0,92.0,126.0,9.6,4.2,341.06,
"2020-10-26 17:00",21.4,992.2,992.2,991.2,101.9,19.3,23.0,19.2,18.6,19.8,17.8,95.0,95.0,80.0,252.0,14.4,6.4,65.66,
"2020-10-03 14:00",3.2,1011.2,1012.3,1008.8,39.7,11.9,12.0,11.6,11.1,11.1,10.7,95.0,95.0,94.0,128.0,8.5,3.7,201.92,
"2020-10-26 18:00",1.0,992.7,992.9,992.2,70.0,18.9,19.4,18.9,18.2,18.6,18.2,96.0,96.0,95.0,253.0,10.0,4.7,5.46,
"2020-10-03 13:00",0.6,1011.3,1012.3,1009.9,85.2,11.7,11.8,11.3,10.7,10.7,10.2,94.0,94.0,92.0,130.0,10.9,4.0,53.98,
"2020-10-14 09:00",0.0,1003.8,1003.9,1003.5,1127.5,17.2,17.5,15.8,12.7,13.4,12.4,75.0,83.0,74.0,86.0,6.5,3.3,864.61,
"2020-10-26 12:00",0.6,995.3,995.9,994.9,646.1,21.6,21.9,21.4,19.8,20.2,19.3,89.0,90.0,87.0,67.0,4.1,2.0,647.17,
"2020-10-14 08:00",0.0,1003.6,1003.6,1003.0,638.7,15.8,15.9,14.8,12.7,13.4,12.3,82.0,90.0,81.0,70.0,6.9,3.4,598.58,
"2020-10-26 13:00",0.4,994.2,995.5,994.2,895.5,21.9,22.0,21.6,19.9,20.3,19.4,89.0,90.0,87.0,124.0,4.3,2.5,869.91,
"2020-10-03 18:00",0.0,1009.7,1010.4,1009.5,46.2,12.2,12.3,12.1,11.1,11.3,11.1,93.0,95.0,93.0,126.0,10.4,4.7,8.13,
"2020-10-14 07:00",0.0,1003.0,1003.0,1001.9,253.7,14.8,14.8,13.8,13.0,13.1,12.7,89.0,93.0,89.0,73.0,4.8,2.5,362.67,
"2020-10-26 14:00",0.0,993.2,994.2,993.2,1022.3,22.5,22.6,21.9,20.2,20.5,19.6,87.0,90.0,85.0,109.0,4.8,2.4,721.09,
"2020-10-03 17:00",3.0,1009.7,1010.1,1007.9,53.6,12.1,12.3,12.0,11.2,11.2,11.1,95.0,95.0,93.0,114.0,12.3,3.9,31.91,
"2020-10-14 06:00",0.0,1001.9,1001.9,1000.9,21.9,13.8,13.8,13.5,12.7,12.7,12.3,93.0,93.0,92.0,86.0,4.7,1.6,89.67,
"2020-10-26 15:00",0.0,992.0,993.2,992.0,1276.3,23.8,24.2,22.4,20.7,21.3,19.8,83.0,88.0,80.0,89.0,5.4,2.8,1148.63,
"2020-10-14 12:00",0.0,1002.5,1003.1,1002.5,3124.9,21.1,22.0,19.6,13.3,14.9,13.0,61.0,72.0,60.0,59.0,6.6,2.6,2399.52,
"2020-10-14 11:00",0.0,1003.0,1003.8,1003.0,2139.0,19.6,19.7,17.7,14.3,14.9,12.8,71.0,77.0,68.0,33.0,5.4,3.0,2177.36,
"2020-10-14 10:00",0.0,1003.8,1003.9,1003.8,1448.1,18.4,18.6,17.1,13.2,13.7,12.7,72.0,77.0,71.0,53.0,6.3,2.8,1278.17,
"2020-10-01 07:00",0.0,992.7,993.2,992.2,47.7,23.1,23.1,22.2,19.3,19.7,19.3,79.0,86.0,79.0,16.0,6.4,2.8,37.25,
"2020-10-13 17:00",0.0,1000.4,1000.4,1000.2,1217.0,23.0,23.7,23.0,10.5,11.3,9.9,45.0,47.0,43.0,160.0,4.5,1.5,270.66,
"2020-10-13 16:00",0.0,1000.2,1000.4,1000.2,1989.4,23.5,24.4,23.0,11.1,11.1,8.8,46.0,46.0,39.0,192.0,4.6,2.5,919.24,
"2020-10-13 15:00",0.0,1000.4,1001.0,1000.4,2537.7,23.9,24.6,23.0,10.7,11.6,9.0,43.0,50.0,39.0,226.0,4.2,1.9,1559.62,
"2020-10-13 14:00",0.0,1001.0,1001.8,1001.0,3159.1,23.0,23.8,22.5,12.0,12.2,10.3,50.0,50.0,44.0,198.0,4.8,1.9,1967.80,
"2020-10-01 09:00",1.4,995.7,996.7,993.9,42.4,21.9,23.3,21.8,19.9,20.1,19.3,88.0,89.0,78.0,255.0,7.6,1.9,8.46,
"2020-10-01 08:00",0.0,993.9,993.9,992.6,52.0,23.3,24.3,23.1,19.3,19.4,19.1,78.0,79.0,73.0,324.0,7.0,1.4,19.55,
"2020-10-13 18:00",0.0,1000.5,1000.5,1000.4,407.0,22.5,23.4,22.5,11.2,11.5,10.2,49.0,49.0,44.0,299.0,2.9,1.2,22.45,
"2020-10-01 10:00",1.6,994.4,995.9,993.3,35.6,21.8,24.0,21.8,19.9,20.0,19.0,89.0,89.0,75.0,19.0,9.9,3.1,47.28,
"2020-10-01 14:00",0.0,990.9,992.2,990.9,807.7,25.1,25.1,23.4,20.3,20.4,19.3,75.0,78.0,74.0,69.0,7.5,3.3,543.21,
"2020-10-01 13:00",0.0,992.2,993.1,992.2,297.0,23.4,23.4,22.9,19.4,19.5,19.2,78.0,81.0,78.0,52.0,8.5,4.3,413.83,
"2020-10-01 12:00",0.0,993.1,995.1,993.0,342.5,23.0,23.0,21.7,19.3,20.1,19.3,80.0,90.0,80.0,51.0,8.6,3.9,290.48,
"2020-10-01 11:00",1.8,995.1,995.3,994.0,72.7,21.8,22.4,21.7,20.1,20.2,19.8,90.0,91.0,87.0,77.0,5.9,2.7,156.63,
"2020-10-02 17:00",0.0,1003.2,1003.2,1001.7,92.5,16.4,16.8,16.1,12.5,13.3,12.4,78.0,83.0,77.0,146.0,12.4,5.5,21.00,
"2020-10-13 06:00",0.0,1003.5,1003.5,1002.7,25.6,13.3,14.2,13.1,12.2,12.7,12.0,93.0,93.0,90.0,162.0,1.4,1.1,193.06,
"2020-10-25 17:00",0.0,993.5,993.5,993.1,856.9,29.3,30.8,29.3,16.5,16.9,16.2,46.0,46.0,42.0,107.0,7.1,3.2,270.36,
"2020-10-02 16:00",0.0,1001.7,1001.8,1000.3,143.8,16.8,17.7,16.8,13.1,13.7,12.8,79.0,79.0,76.0,157.0,12.6,7.5,54.86,
"2020-10-13 05:00",0.0,1002.7,1002.7,1002.4,0.0,14.2,14.2,13.9,12.7,12.9,12.6,91.0,93.0,91.0,98.0,1.4,0.7,0.00,
"2020-10-25 18:00",0.0,993.8,993.9,993.5,276.9,27.9,29.3,27.9,17.4,17.4,16.4,53.0,53.0,46.0,105.0,7.7,4.3,49.98,
"2020-10-02 15:00",0.0,1000.4,1000.4,999.4,320.4,17.7,18.8,17.7,13.7,15.0,13.7,78.0,81.0,77.0,148.0,13.0,6.2,107.00,
"2020-10-02 14:00",0.0,999.6,999.9,999.1,411.6,18.8,20.3,18.8,14.9,17.2,14.9,78.0,83.0,77.0,159.0,11.8,7.6,245.62,
"2020-10-13 09:00",0.0,1004.4,1004.6,1004.4,1119.9,18.0,18.1,16.6,13.0,13.5,11.4,72.0,78.0,70.0,183.0,3.7,1.9,1169.10,
"2020-10-25 14:00",0.0,994.9,995.5,994.9,2904.2,30.9,31.3,29.4,17.4,19.2,16.8,44.0,52.0,43.0,114.0,6.2,3.0,1983.57,
"2020-10-13 08:00",0.0,1004.5,1004.5,1004.1,1142.0,16.6,16.7,15.4,12.8,13.7,12.6,78.0,87.0,77.0,129.0,3.0,1.4,1335.10,
"2020-10-25 15:00",0.0,993.8,994.9,993.8,2508.9,30.8,31.8,30.5,17.1,18.1,16.6,44.0,47.0,42.0,117.0,7.0,3.6,1381.50,
"2020-10-02 18:00",0.0,1004.3,1004.5,1003.2,19.2,16.1,16.5,16.0,12.6,12.6,12.2,80.0,80.0,76.0,116.0,9.8,3.0,2.72,
"2020-10-13 07:00",0.0,1004.1,1004.1,1003.5,594.9,15.3,15.3,13.2,13.2,13.5,12.1,87.0,93.0,87.0,143.0,2.6,1.8,748.91,
"2020-10-25 16:00",0.0,993.3,993.9,993.2,1648.9,30.8,31.1,30.2,16.9,17.4,16.3,43.0,45.0,42.0,109.0,7.0,3.5,814.90,
"2020-10-13 13:00",0.0,1001.8,1002.7,1001.8,3340.8,23.1,23.1,21.5,11.8,12.9,10.4,49.0,56.0,47.0,17.0,4.5,0.9,1955.25,
